stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1398,SKISSOB,SKIDAWAY & SUNSET SB,SKIDAWAY RD & SUNSET BLVD,32.034402,-81.067853,,,,
1399,SKIFEOB,SKIDAWAY & FERNWOOD SB,SKIDAWAY RD & FERNWOOD DR,32.031773,-81.068747,,,,
1400,SKIBBOB,SKIDAWAY & BAYBERRY SB,,32.029906,-81.069396,,,,
1401,SKIPTOB,SKIDAWAY & PINETREE SB,SKIDAWAY RD & PINETREE RD,32.027213,-81.070906,,,,
1402,SKIRLOB,SKIDAWAY & RANCHLAND SB,SKIDAWAY RD & RANCHLAND DR,32.024961,-81.072129,,,,
1403,SKIWZOB,SKIDAWAY & WALTZ SB,SKIDAWAY RD & GLYNNWOOD DR,32.023408,-81.072991,,,,
1404,SKITLOB,SKIDAWAY & TIMBERLINE SB,SKIDAWAY RD & ST JOHNS AVE,32.021918,-81.073789,,,,
1405,DERSKEB,DERENNE & SKIDAWAY 2 EB,,32.019109,-81.074331,,,,
1407,NORSFOB,NORWOOD & SS FIRE DEPT NB,,31.987094,-81.072661,,,,
1409,NORLEOB,NORWOOD & LESTER NB,,31.990756,-81.068589,,,,
1410,NORNCOB,NORWOOD & NORWOOD COURT NB,,31.992676,-81.066388,,,,
1414,LARCOOB,LA ROCHE &  CORNUS SB,,31.986123,-81.054524,,,,
1415,CORCCOB,CORNUS & CORNUS COURT SB,,31.985531,-81.056002,,,,
1416,CORHCOB,CORNUS & HERB CREEK SB,,31.983772,-81.05782,,,,
1417,PARCEOB,PARKERSBURG & CENTRAL SB,,31.981043,-81.06018,,,,
1418,PARROOB,PARKERSBURG & ROSE WB,,31.980532,-81.061445,,,,
1419,PARIHOB,PARKERSBURG & ISLE OF HOPE SCHOOL WB,,31.97932,-81.064443,,,,
1421,SKIPAOB,SKIDAWAY & PAXTON WB,,31.979509,-81.06641,,,,
1422,SKIWOOB,SKIDAWAY & WORMSLOE WB,,31.980748,-81.069153,,,,
1423,SKI@RIOB,SKIDAWAY & RIDGEWOOD WB,,31.984428,-81.072927,,,,
1424,SKIMONT,SKIDAWAY & MONTGOMERY CROSS NB,,31.990738,-81.07669,,,,
1425,SALHDOB,SALLIE MOOD & HEALTH DEPT SB,,32.003499,-81.090632,,,,
1426,SALGW,SALLIE MOOD & GOODWILL SB,,32.000142,-81.090631,,,,
1429,SALSUOB,SALLIE MOOD & SULGRAVE SB,SALLIE MOOD DR & FOXHALL RD,31.994093,-81.090555,,,,
1430,SALMCOB,SALLIE MOOD & MONTGOMERY CROSS SB,SALLIE MOOD DR & RAMP,31.990925,-81.090576,,,,
1431,BROMONT,BROUGHTON & MONTGOMERY EB,,32.08008,-81.096355,,,,
1433,MONLAOB,MONTGOMERY CROSS & LABERTA WB,,31.99235,-81.098423,,,,
1437,MONHUOB,MONTGOMERY CROSS & HURST WB,,31.995389,-81.110683,,,,
1438,MONAEOB,MONTGOMERY CROSS & AEGEAN WB,,31.995802,-81.11247,,,,
1439,MONBROB,MONTGOMERY CROSS & BRUCE WB,,31.996169,-81.114161,,,,
1441,EISTAG,EISENHOWER & TAG OFFICE EB,,32.006351,-81.100065,,,,
1442,EISSWIB,EISENHOWER & SEAWRIGHT EB,,32.005392,-81.096417,,,,
1443,EIS1501,EISENHOWER & 1501 EISENHOWER EB,,32.004773,-81.094099,,,,
1444,EISSMOOD,EISENHOWER & SALLIE MOOD 2 EB,,32.003571,-81.089739,,,,
1445,EISGRIB,EISENHOWER & GA REGIONAL WB,,32.00227,-81.084922,,,,
1446,EISVAROB,EISENHOWER & TRUMAN EB,,32.00061,-81.079222,,,,
1447,BEAHIIB,BEAUMONT & HIALEAH EB,,31.99965,-81.07583,,,,
1448,BEAHFIB,BEAUMONT & HOWARD FOSS EB,HOWARD FOSS DR & BEAUMONT DR,31.999103,-81.073979,,,,
1449,NOTRHIB,NOTTINGHAM & ROBIN HOOD EB,,31.9993,-81.071353,,,,
1452,NOTLAIB,NOTTINGHAM & LAROCHE EB,NOTTINGHAM DR & LAROCHE AVE,32.001248,-81.063878,,,,
1453,LARMAJE,LAROCHE & MAJESTIC OAKS NB,,32.007073,-81.065398,,,,
1454,LAR5616,LAROCHE & RESIDENCE 5616 NB,,32.011955,-81.06494,,,,
1455,LARJAIB,LAROCHE & JASMINE NB,,32.01498,-81.065908,,,,
1456,DERLAIB,DERENNE & LAROCHE WB,,32.01726,-81.067109,,,,
1458,DEREMIB,DERENNE & EMORY WB,,32.018166,-81.07063,,,,
1459,DERBAIB,DERENNE & BARRY WB,,32.018552,-81.072119,,,,
1460,DER&SKIB,DERENNE & SKIDAWAY WB,,32.019172,-81.074384,,,,
1461,SKISJIB,SKIDAWAY & ST JOHNS NB,,32.021837,-81.073735,,,,
1462,SKIGLIB,SKIDAWAY & GLYNNWOOD NB,,32.023148,-81.073033,,,,
1463,SKIBBIB,SKIDAWAY & RANCHLAND NB,,32.025077,-81.07197,,,,
1464,SKILAIB,SKIDAWAY & LAROCHE NB,,32.027034,-81.070938,,,,
1465,SKIPWIB,SKIDAWAY & PARKWOOD NB,,32.029439,-81.069598,,,,
1466,SKIFWIB,SKIDAWAY & FERNWOOD NB,,32.032186,-81.068555,,,,
1467,SKISSIB,SKIDAWAY & SUNSET NB,,32.0339,-81.067991,,,,
1468,SKIENIB,SKIDAWAY & 51ST NB,,32.035883,-81.067013,,,,
1469,SKISHIB,SKIDAWAY & SHELL NB,,32.037732,-81.066034,,,,
1470,SKICLIB,SKIDAWAY & COLORADO NB,,32.038701,-81.065502,,,,
1471,SKIROIB,SKIDAWAY & ROWLAND NB,,32.03985,-81.064895,,,,
1472,SALPUBW,SALLIE MOOD & PUBLIC WORKS SB,,31.996902,-81.09062,,,,
1473,GWIMBW,GWINNETT & MORRIS BROWN WB,W GWINNETT ST & MARTIN LUTHER KING JR BLVD,32.068861,-81.102301,,,,
1474,AUDCL,AUDUBON & CLOVERDALE SB,,32.066617,-81.127979,,,,
1475,CARWIN,CARROLL & WINBURN SB,CARROLL ST & WINBURN ST,32.071823,-81.12561,,,,
1476,GWIMBE,GWINNETT & MORRIS BROWN EB,W GWINNETT ST & MARTIN LUTHER KING JR BLVD,32.068699,-81.102354,,,,
1477,MLKGAOB,MLK & GASTON SB,,32.071751,-81.100525,,,,
1478,GWIMAOB,GWINNETT & MAY WB,W GWINNETT ST & MAY ST,32.069462,-81.104749,,,,
1481,STISPOB,STILES & SPRINGFIELD SB,,32.070759,-81.114956,,,,
1482,STIFEOB,STILES & BEL AIRE SB,,32.061675,-81.121559,,,,
1483,STIMCOB,STILES & MCCARTHY SB,,32.069404,-81.115902,,,,
1484,CLOELOB,CLOVERDALE & ELEANOR WB,,32.064673,-81.120167,,,,
1485,AUDELOB,AUDUBON & ELEANOR WB,,32.065507,-81.119837,,,,
1486,AUDROB,AUDUBON & RESIDENCE 1420 WB,,32.066027,-81.122009,,,,
1487,AUDCYOB,AUDUBON & CYNTHIA WB,,32.066457,-81.123797,,,,
1488,CLOVCYN,CLOVERDALE & CYNTHIA EB,,32.065658,-81.124318,,,,
1490,CLO1517,CLOVERDALE & RESIDENCE 1517 EB,,32.066195,-81.126649,,,,
1493,CLO1401,CLOVERDALE & RESIDENCE 1401 EB,,32.064861,-81.121114,,,,
1494,STIHE,STILES & HEARNS NB,,32.068722,-81.116306,,,,
1495,STIFENB,STILES & BEL AIRE NB,,32.061549,-81.121431,,,,
1496,STILGWI,STILES & GWINNETT NB,,32.071352,-81.114456,,,,
1497,GWIHAWB,GWINNETT & HASTINGS WB,,32.072258,-81.115967,,,,
1499,GWICARWB,GWINNETT & CARTER WB,W GWINNETT ST & BOWDEN ST,32.073101,-81.118086,,,,
1500,GWINELWB,GWINNETT & NELSON WB,W GWINNETT ST & NELSON ST,32.073566,-81.1198,,,,
1501,GWIBARWB,GWINNETT & BARTON WB,W GWINNETT ST & LYNAH ST,32.073997,-81.121322,,,,
1504,CARCHAM,CARROLL & CHAMBERS SB,CARROLL ST & W GWINNETT ST,32.073331,-81.125036,,,,
1506,WINCARV,WINBURN & CARVER EB,WINBURN ST & CARVER ST,32.071132,-81.124183,,,,
1508,WINLYNA,WINBURN & LYNAH EB,WINBURN ST & LYNAH ST,32.070693,-81.122671,,,,
1511,WINCROS,WINBURN & CROSBY EB,WINBURN ST & CROSBY ST,32.070057,-81.120362,,,,
1512,CROSCHA,CROSBY & CHANDLER NB,CROSBY ST & CHANDLER ST,32.071592,-81.119564,,,,
1513,CROSGWI,CROSBY & GWINNETT NB,CROSBY ST & W GWINNETT ST,32.073217,-81.119054,,,,
1514,GWINCAR,GWINNETT & CARTER EB,,32.073082,-81.118373,,,,
1516,GWSTILEB,GWINNETT & STILES EB,W GWINNETT ST & HASTINGS ST,32.071899,-81.11468,,,,
1517,GWICLEB,GWINNETT & CITY LOT EB,,32.071604,-81.113647,,,,
1519,GWIMAEB,GWINNETT & MAY EB,,32.069444,-81.105206,,,,
1521,WLNLEB,W LATHROP & N LATHROP NB,,32.098838,-81.119698,,,,
1523,NLAGSEB,N LATHROP & COLONIAL EB,N LATHROP AVE & W LATHROP AVE,32.095179,-81.114074,,,,
1526,CAROBA,CAROLAN & BAY SB,CAROLAN ST & W BAY ST,32.088043,-81.116189,,,,
1527,MEMHOSP,MEMORIAL HOSPITAL,REUBEN CLARK DR & CARL GRIFFIN DR,32.030946,-81.088926,,,,
